   256          Number of colors in the file
 Name                 RGB            R     G     B        C       M        Y       K
     113          12517120        190   255     0        0.255   0.000   1.000   0.000
     114          12517120        190   255     0        0.255   0.000   1.000   0.000
     115          12517120        190   255     0        0.255   0.000   1.000   0.000
     116          12517120        190   255     0        0.255   0.000   1.000   0.000
     117          12517120        190   255     0        0.255   0.000   1.000   0.000
     118          12517120        190   255     0        0.255   0.000   1.000   0.000
     119          12517120        190   255     0        0.255   0.000   1.000   0.000
     120          12517120        190   255     0        0.255   0.000   1.000   0.000
     121          12517120        190   255     0        0.255   0.000   1.000   0.000
     122          12517120        190   255     0        0.255   0.000   1.000   0.000
     123          12517120        190   255     0        0.255   0.000   1.000   0.000
     124          12517120        190   255     0        0.255   0.000   1.000   0.000
     125          12517120        190   255     0        0.255   0.000   1.000   0.000
     126          12517120        190   255     0        0.255   0.000   1.000   0.000
     127          12517120        190   255     0        0.255   0.000   1.000   0.000
     128          12517120        190   255     0        0.255   0.000   1.000   0.000
     129          16776960        255   255     0        0.000   0.000   1.000   0.000
     130          16776960        255   255     0        0.000   0.000   1.000   0.000
     131          16776960        255   255     0        0.000   0.000   1.000   0.000
     132          16776960        255   255     0        0.000   0.000   1.000   0.000
     133          16776960        255   255     0        0.000   0.000   1.000   0.000
     134          16776960        255   255     0        0.000   0.000   1.000   0.000
     135          16776960        255   255     0        0.000   0.000   1.000   0.000
     136          16776960        255   255     0        0.000   0.000   1.000   0.000
     137          16776960        255   255     0        0.000   0.000   1.000   0.000
     138          16776960        255   255     0        0.000   0.000   1.000   0.000
     139          16776960        255   255     0        0.000   0.000   1.000   0.000
     140          16776960        255   255     0        0.000   0.000   1.000   0.000
     141          16776960        255   255     0        0.000   0.000   1.000   0.000
     142          16776960        255   255     0        0.000   0.000   1.000   0.000
     143          16776960        255   255     0        0.000   0.000   1.000   0.000
     144          16776960        255   255     0        0.000   0.000   1.000   0.000
     145          16769024        255   224     0        0.000   0.122   1.000   0.000
     146          16769024        255   224     0        0.000   0.122   1.000   0.000
     147          16769024        255   224     0        0.000   0.122   1.000   0.000
     148          16769024        255   224     0        0.000   0.122   1.000   0.000
     149          16769024        255   224     0        0.000   0.122   1.000   0.000
     150          16769024        255   224     0        0.000   0.122   1.000   0.000
     151          16769024        255   224     0        0.000   0.122   1.000   0.000
     152          16769024        255   224     0        0.000   0.122   1.000   0.000
     153          16769024        255   224     0        0.000   0.122   1.000   0.000
     154          16769024        255   224     0        0.000   0.122   1.000   0.000
     155          16769024        255   224     0        0.000   0.122   1.000   0.000
     156          16769024        255   224     0        0.000   0.122   1.000   0.000
     157          16769024        255   224     0        0.000   0.122   1.000   0.000
     158          16769024        255   224     0        0.000   0.122   1.000   0.000
     159          16769024        255   224     0        0.000   0.122   1.000   0.000
     160          16769024        255   224     0        0.000   0.122   1.000   0.000
     161          16747776        255   141     0        0.000   0.447   1.000   0.000
     162          16747776        255   141     0        0.000   0.447   1.000   0.000
     163          16747776        255   141     0        0.000   0.447   1.000   0.000
     164          16747776        255   141     0        0.000   0.447   1.000   0.000
     165          16747776        255   141     0        0.000   0.447   1.000   0.000
     166          16747776        255   141     0        0.000   0.447   1.000   0.000
     167          16747776        255   141     0        0.000   0.447   1.000   0.000
     168          16747776        255   141     0        0.000   0.447   1.000   0.000
     169          16747776        255   141     0        0.000   0.447   1.000   0.000
     170          16747776        255   141     0        0.000   0.447   1.000   0.000
