   256          Number of colors in the file
 Name                             RGB       R     G     B        C        M        Y        K
  110                            3735495   56  255  199   0.780   0.000   0.220   0.000
  111                            3997635   60  255  195   0.765   0.000   0.235   0.000
  112                            4259775   64  255  191   0.749   0.000   0.251   0.000
  113                            4521915   68  255  187   0.733   0.000   0.267   0.000
  114                            4784055   72  255  183   0.718   0.000   0.282   0.000
  115                            5046195   76  255  179   0.702   0.000   0.298   0.000
  116                            5308335   80  255  175   0.686   0.000   0.314   0.000
  117                            5570475   84  255  171   0.671   0.000   0.329   0.000
  118                            5832615   88  255  167   0.655   0.000   0.345   0.000
  119                            6094755   92  255  163   0.639   0.000   0.361   0.000
  120                            6356895   96  255  159   0.624   0.000   0.376   0.000
  121                            6619035  100  255  155   0.608   0.000   0.392   0.000
  122                            6881175  104  255  151   0.592   0.000   0.408   0.000
  123                            7143315  108  255  147   0.576   0.000   0.424   0.000
  124                            7405455  112  255  143   0.561   0.000   0.439   0.000
  125                            7667595  116  255  139   0.545   0.000   0.455   0.000
  126                            7929735  120  255  135   0.529   0.000   0.471   0.000
  127                            8191875  124  255  131   0.514   0.000   0.486   0.000
  128                            8454016  128  255  128   0.498   0.000   0.498   0.000
  129                            8650620  131  255  124   0.486   0.000   0.514   0.000
  130                            8912760  135  255  120   0.471   0.000   0.529   0.000
  131                            9174900  139  255  116   0.455   0.000   0.545   0.000
  132                            9437040  143  255  112   0.439   0.000   0.561   0.000
  133                            9699180  147  255  108   0.424   0.000   0.576   0.000
  134                            9961320  151  255  104   0.408   0.000   0.592   0.000
  135                           10223460  155  255  100   0.392   0.000   0.608   0.000
  136                           10485600  159  255   96   0.376   0.000   0.624   0.000
  137                           10747740  163  255   92   0.361   0.000   0.639   0.000
  138                           11009880  167  255   88   0.345   0.000   0.655   0.000
  139                           11272020  171  255   84   0.329   0.000   0.671   0.000
  140                           11534160  175  255   80   0.314   0.000   0.686   0.000
  141                           11796300  179  255   76   0.298   0.000   0.702   0.000
  142                           12058440  183  255   72   0.282   0.000   0.718   0.000
  143                           12320580  187  255   68   0.267   0.000   0.733   0.000
  144                           12582720  191  255   64   0.251   0.000   0.749   0.000
  145                           12844860  195  255   60   0.235   0.000   0.765   0.000
  146                           13107000  199  255   56   0.220   0.000   0.780   0.000
  147                           13369140  203  255   52   0.204   0.000   0.796   0.000
  148                           13631280  207  255   48   0.188   0.000   0.812   0.000
  149                           13893420  211  255   44   0.173   0.000   0.827   0.000
  150                           14155560  215  255   40   0.157   0.000   0.843   0.000
  151                           14417700  219  255   36   0.141   0.000   0.859   0.000
  152                           14679840  223  255   32   0.125   0.000   0.875   0.000
  153                           14941980  227  255   28   0.110   0.000   0.890   0.000
  154                           15204120  231  255   24   0.094   0.000   0.906   0.000
  155                           15466260  235  255   20   0.078   0.000   0.922   0.000
  156                           15728400  239  255   16   0.063   0.000   0.937   0.000
  157                           15990540  243  255   12   0.047   0.000   0.953   0.000
  158                           16252680  247  255    8   0.031   0.000   0.969   0.000
  159                           16514820  251  255    4   0.016   0.000   0.984   0.000
  160                           16776960  255  255    0   0.000   0.000   1.000   0.000
  161                           16775936  255  251    0   0.000   0.016   1.000   0.000
  162                           16774912  255  247    0   0.000   0.031   1.000   0.000
  163                           16773888  255  243    0   0.000   0.047   1.000   0.000
  164                           16772864  255  239    0   0.000   0.063   1.000   0.000
  165                           16771840  255  235    0   0.000   0.078   1.000   0.000
  166                           16770816  255  231    0   0.000   0.094   1.000   0.000
  167                           16769792  255  227    0   0.000   0.110   1.000   0.000
  168                           16768768  255  223    0   0.000   0.125   1.000   0.000
  169                           16767744  255  219    0   0.000   0.141   1.000   0.000
  170                           16766720  255  215    0   0.000   0.157   1.000   0.000
  171                           16765696  255  211    0   0.000   0.173   1.000   0.000
  172                           16764672  255  207    0   0.000   0.188   1.000   0.000
  173                           16763648  255  203    0   0.000   0.204   1.000   0.000
  174                           16762624  255  199    0   0.000   0.220   1.000   0.000
  175                           16761600  255  195    0   0.000   0.235   1.000   0.000
  176                           16760576  255  191    0   0.000   0.251   1.000   0.000
  177                           16759552  255  187    0   0.000   0.267   1.000   0.000
  178                           16758528  255  183    0   0.000   0.282   1.000   0.000
  179                           16757504  255  179    0   0.000   0.298   1.000   0.000
  180                           16756480  255  175    0   0.000   0.314   1.000   0.000
  181                           16755456  255  171    0   0.000   0.329   1.000   0.000
  182                           16754432  255  167    0   0.000   0.345   1.000   0.000
  183                           16753408  255  163    0   0.000   0.361   1.000   0.000
  184                           16752384  255  159    0   0.000   0.376   1.000   0.000
  185                           16751360  255  155    0   0.000   0.392   1.000   0.000
  186                           16750336  255  151    0   0.000   0.408   1.000   0.000
  187                           16749312  255  147    0   0.000   0.424   1.000   0.000
  188                           16748288  255  143    0   0.000   0.439   1.000   0.000
  189                           16747264  255  139    0   0.000   0.455   1.000   0.000
  190                           16746240  255  135    0   0.000   0.471   1.000   0.000
  191                           16745216  255  131    0   0.000   0.486   1.000   0.000
  192                           16744448  255  128    0   0.000   0.498   1.000   0.000
  193                           16743424  255  124    0   0.000   0.514   1.000   0.000
  194                           16742400  255  120    0   0.000   0.529   1.000   0.000
  195                           16741376  255  116    0   0.000   0.545   1.000   0.000
  196                           16740352  255  112    0   0.000   0.561   1.000   0.000
  197                           16739328  255  108    0   0.000   0.576   1.000   0.000
  198                           16738304  255  104    0   0.000   0.592   1.000   0.000
  199                           16737280  255  100    0   0.000   0.608   1.000   0.000
  200                           16736256  255   96    0   0.000   0.624   1.000   0.000
  201                           16735232  255   92    0   0.000   0.639   1.000   0.000
  202                           16734208  255   88    0   0.000   0.655   1.000   0.000
  203                           16733184  255   84    0   0.000   0.671   1.000   0.000
  204                           16732160  255   80    0   0.000   0.686   1.000   0.000
  205                           16731136  255   76    0   0.000   0.702   1.000   0.000
  206                           16730112  255   72    0   0.000   0.718   1.000   0.000
  207                           16729088  255   68    0   0.000   0.733   1.000   0.000
